coin,network,address,tag,url,full_response
AGLD,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'AGLD', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
SCR,SCROLL,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://scrollscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'SCR', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://scrollscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
NEAR,BSC,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'NEAR', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://bscscan.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
NEAR,NEAR,0fd97436cd902827d42e3adf9080b0a952099c3dec5c3811f2b2d158cb0b853c,,https://nearblocks.io/address/0fd97436cd902827d42e3adf9080b0a952099c3dec5c3811f2b2d158cb0b853c,"{'coin': 'NEAR', 'address': '0fd97436cd902827d42e3adf9080b0a952099c3dec5c3811f2b2d158cb0b853c', 'tag': '', 'url': 'https://nearblocks.io/address/0fd97436cd902827d42e3adf9080b0a952099c3dec5c3811f2b2d158cb0b853c', 'isDefault': 0}"
AUDIO,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'AUDIO', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
WLD,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'WLD', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
WLD,OPTIMISM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://optimistic.etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'WLD', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://optimistic.etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
WLD,WLD,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://worldchain-mainnet.explorer.alchemy.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'WLD', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://worldchain-mainnet.explorer.alchemy.com/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
ETHFI,ARBITRUM,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'ETHFI', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://arbiscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
ETHFI,ETH,0x414349c13c165454decec1a8c901c41d62fe66c0,,https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0,"{'coin': 'ETHFI', 'address': '0x414349c13c165454decec1a8c901c41d62fe66c0', 'tag': '', 'url': 'https://etherscan.io/address/0x414349c13c165454decec1a8c901c41d62fe66c0', 'isDefault': 0}"
