coin,chain,chainType,addressDeposit,tagDeposit,batchReleaseLimit,deposit_contractAddress_last6,coininfo_contractAddress_full,chainDeposit,chainWithdraw,confirmation,safeConfirmNumber,depositMin,withdrawMin,minAccuracy,withdrawFee,withdrawPercentageFee
0G,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,35b3eE,0x4B948d64dE1F71fCd12fB586f4c776421a35b3eE,1,1,60,60,0.001,0.6,8,0.3,0
1INCH,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,20c302,0x111111111117dc0aa78b770fa6a738034120c302,1,1,6,64,0.01,20,8,20,0
2Z,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,feMfvd,J6pQQ3FAcJQeWPPGppWRb4nM8jU3wLyYbRrLh7feMfvd,1,1,200,200,0.01,4,8,3.5,0
A,EOS,Vaulta,bybitdeposit,500091839,-1,vaulta,core.vaulta,1,1,1,1,0.0001,2,4,0.5,0
A8,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,4062dF,0x3E5A19c91266aD8cE2477B91585d1856B84062dF,1,1,6,64,0.1,20,8,20,0
AAPLX,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,RLJzJp,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,1,1,200,200,0.00001,0.01,8,0.005,0
AAVE,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,2ddae9,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1,1,6,64,0.00001,0.025,8,0.01,0
ACH,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,23143d,0xed04915c23f00a313a544955524eb7dbd823143d,1,1,6,64,0.1,113,8,113,0
ACS,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,AhDS5y,5MAYDfq5yxtudAhtfyuMBuHZjgAbaS9tbEyEQYAhDS5y,1,1,200,200,0.000001,380,6,1000,0
ADA,ADA,ADA,addr1v9hfw5ezh07rt3eehhqcqxfjzky02z5qsaj3dpnezhaszhgrgu77x,,-1,,,1,1,15,70,1,10,6,0.8,0
AERO,BASE,BASE,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,D98631,0x940181a94A35A4569E4529A3CDfB74e38FD98631,1,1,30,1800,0.001,0.5,8,0.5,0
AEVO,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,13b997,0xB528edBef013aff855ac3c50b381f253aF13b997,1,1,6,64,0.1,8,8,8,0
AFC,CHILIZ,Chiliz Chain,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,92550b,0x1d4343d35f0E0e14C14115876D01dEAa4792550b,1,1,30,60,1,1,0,0,0
AGI,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,0C3046,0x7dA2641000Cbb407C329310C461b2cB9c70C3046,1,1,6,64,0.1,20,8,20,0
AGLD,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,489a20,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,1,1,6,64,0.01,3,8,3,0
AIOZ,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,3cBF18,0x626E8036dEB333b408Be468F951bdB42433cBF18,1,1,6,64,0.01,5,8,5,0
AIXBT,BASE,BASE,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,d1A825,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,1,1,30,1800,0.1,2,8,2,0
ALCH,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,NApump,HNg5PYJmtqcmzXrv6S9zP1CDKk5BgDuyFBxbvNApump,1,1,200,200,0.000001,25,6,25,0
ALGO,ALGO,ALGO,Z65ECQJOCR5LWCZURCUONOS4PETWVGMEAFM52WU5EBSI2RWMHMLUIXHOAI,,-1,,,1,1,1,1,0.03,10,6,0.01,0
ALMANAK,ARBI,Arbitrum One,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,7cc3a3,0xDeFA1D21c5F1cbeac00eeB54B44C7D86467cc3a3,1,0,120,3360,0,60,8,30,0
ALMANAK,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,7cc3a3,0xDeFA1D21c5F1cbeac00eeB54B44C7D86467cc3a3,1,0,60,60,0,60,8,30,0
ALMANAK,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,7cc3a3,0xDeFA1D21c5F1cbeac00eeB54B44C7D86467cc3a3,1,0,30,1800,0,60,8,30,0
ALMANAK,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,7cc3a3,0xDeFA1D21c5F1cbeac00eeB54B44C7D86467cc3a3,1,1,6,64,0,180,8,90,0
ALMANAK,MANTLE,Mantle Network,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,7cc3a3,0xDeFA1D21c5F1cbeac00eeB54B44C7D86467cc3a3,1,0,100,100,0,60,8,30,0
