currency,net_type,deposit_address,secondary_address
0G,0G,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
1INCH,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
2Z,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
A,A,eosupbitsusr,ae636eec-781c-4e53-8435-ddaa2293b90c
AAVE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ACM,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ACS,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
ADA,ADA,addr1v9yg6w3285tjmplsvgn7mafy47pqha0ag2kr5q3txxkmlqgkj59jl,
AERGO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AERO,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AFC,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AGLD,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AHT,LUK,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AKT,AKT,akash1fua85wgwfyfgrpg3262aa83236m09vuyh5m00l,242709f74de01cda
ALGO,ALGO,C4SRSW2XD6TEJPUSLEF2LCJLHTBKTMYMETVYSSO2NZE3EAIPW7XXHSABJ4,
ALT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ANIME,ARBITRUM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ANKR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
APE,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
API3,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
APT,APT,0xa2c9be79ee95e4d34a5827de781f370f2e6c2f6fb529f511d207a7795ba80846,
AQT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ARB,ARBITRUM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ARDR,ARDR,ARDOR-8K2N-MSFX-M4VB-BARN4,1253adff-0139-4c44-ae8b-06961e59c258
ARK,ARK,AbrVx9gVLi2MoDhDrjuP79hqWJTSYsvA6c,
ARKM,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ARPA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ASTR,ASTR,WfxwFUrHL3oHWtVxvwudif7tq5kJXAKPTFa41bef9CB9ARC,
ATH,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ATM,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ATOM,ATOM,cosmos1m395dqtek5ymjeydfxc5rjk7p3n4uaej7aw3fz,58781aa9f01f7d5d
AUCTION,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AUDIO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AVAX,AVAX,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AVNT,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AWE,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AXL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
AXS,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
B3,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BABY,BABY,bbn1um43x6kclt42q2xmkssvfexar4an9uwptx5fay,21eed6ee1dcb09e4
BAR,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BARD,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BAT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BCH,BCH,bitcoincash:qphexwz30ten0njs6k9xq32tm6verns8mujr0e692h,
BEAM,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BERA,BERA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BFC,BFC,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BIGTIME,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BIO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BLAST,BLASTNET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BLUR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BONK,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
BORA,KAIA,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BOUNTY,ARBITRUM,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BRETT,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BREV,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
BSV,BSV,1QEY2fqREFYJ9NwAtqsNaGTyGhG6ryCBap,
BTC,BTC,3PWmQBRGUUzRBuhwAU3uS1FxgLQKjWom59,
BTT,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
CARV,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CBK,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CELO,CELO,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CHR,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CHZ,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CITY,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CKB,CKB,ckb1qyqy5u8vd6p502l5kf7zj8hd7su32u3xd4fsudjwtr,
COMP,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
COW,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CPOOL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CRO,CRO,cro1jgmxv57v3cg545tm6cggeg2c7ldul4vc24wvaj,6311c51186511ac2
CRV,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CTC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CTSI,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CVC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
CYBER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
DEEP,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
DENT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
DGB,DGB,DLd95fn2uCtXyiBpMspU2wD2twu645Zvw1,
DKA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
DNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
DOGE,DOGE,DTAMWwUdRd3UBetStBVXr6oZ781RpVW18w,
DOOD,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
DOT,DOT,13eAgGRhk8YpoF6N7efiHawki1eFYh4nA1USoD9dKoEw6fBg,
DRIFT,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
EGLD,EGLD,erd1vwnl4ehts35cztqaua9amtemp45nqeez9xawuvmqr3dtpju5h50shswkg6,
ELF,ELF,2cvBviQ1Fk2KbdsrDJJQrH4s67LTpPD234g9oz428pb3YgKFsr,
ELSA,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ENA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ENJ,ENJ,enBe5amycuisoaGzARRj1c6n4KZrSAeHFivQbpkLcDX6CzrdE,
ENS,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ENSO,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
EPT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ERA,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ETC,ETC,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ETH,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ETHFI,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
EUL,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
F,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
FCT2,FCT2,firma1f2hcj89nksz42yegafpgv93m8flzp0s02g8vrv,5b5e9505d926d594
FF,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
FIL,FIL,f1vzewyoclvqsqqpis6vajrzoli62b7ndx5ftq65a,
FLOCK,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
FLUID,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
FORT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
G,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GAME2,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GAS,NEO,NWm29ky5PJt3hmQZpMadUNXSJJ9CeZvyyr,
GLM,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GLMR,GLMR,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GMT,POL,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GRT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
GTC,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
HAEDAL,SUI,0x0c1ae9196dd63019c73ef9e23b0f0bd6a34468a5e41c6ca26403414583c995af,
HBAR,HBAR,0.0.10160606,0481e323a35ce145
HBD,HIVE,upbitsusers,3bb9ddee-9ab1-4d0f-b491-5666a0e4887c
HIVE,HIVE,upbitsusers,3bb9ddee-9ab1-4d0f-b491-5666a0e4887c
HOLO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
HP,HP,hippo1dyhpldh3a6ku5zud76tfw69d5kegedhkz4mea9,ca538e0a4a989157
HUMA,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
HUNT,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
HYPER,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
ICX,ICX,hx9f0472b953ffcfebdbd0af3bf10580b0afbcdb29,
ID,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IMX,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IN,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
INIT,INIT,init1jpskehhsswr4tmajyn3f8fawzkhgqwjm6yyhvg,03250b5b04c4c4a3
INJ,INJ,inj1e0v48wtvhfkx63wy54ju3xryumfxx0zxu3sfc9,5c28855b95c5cba2
INTER,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
IOST,IOST,user_upbit,176163ebfed3058c
IOTA,IOTA,0x860f388cd794921c8015aad98334c634084bffb9880621efaff4ea159a70140a,
IOTX,IOTX,io1uan6geyj92dzup0ezxfmgqv66a6pgrznndwjqd,
IP,IP,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
IQ,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
JASMY,ETH,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
JST,TRX,TFx22vUvrDsrJBMmsPpba25ktMnwsEHGYr,
JTO,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
JUP,SOL,5zmEf12B2U8M7GvG8ig8ZETBdBjQLKh8ReLZbVAoMbA1,
JUV,CHZ,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
KAITO,BASENET,0x1fe5a41f983bbf41f8b6a53af07ec98c34a767ea,
