currency,net_type,address,secondary_address,response_msg
0G,0G,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
1INCH,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
2Z,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
A,Unknown,,,No valid network found
A8,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AAVE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ACE,Unknown,,,No valid network found
ACH,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ACS,SOL,BVycw5iD6vF2gAkH2bb2tPAU5v9xswxWjh45n34nhwqX,,Success
ACX,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ADA,ADA,DdzFFzCqrhsjLxTGEn4dhzG7Pqpr2R965hQWVkYBnGwGr9K37dd555q5KvfJ92HXibg8UNjgxqU1Vnhg35SuBLcPqhaGD5DW8iatwGif,,Success
ADP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AERGO,AERGO,AmLz7z2zJEhKme9cPF2YsZQtATjNAsxJPhstMSB9qQH1mJL2AMKt,,Success
AERO,Unknown,,,No valid network found
AGI,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AGLD,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AHT,Unknown,,,No valid network found
AIOZ,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AKT,AKT,akash1rdfzqlft866y6mz2r6xd3s049sfm3hcqym4a4h,1008712663,Success
AL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ALGO,ALGO,B2ZBBEPIKXJYGG3Q3VKOXJU75FJCDNOFXVSULCMCDUNDTXU5ECQI7OTGUM,,Success
ALICE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ALLO,ALLO,allo1lgjksr46uzn37lg059u4fhscxg784ayd5g0t68,1008712663,Success
ALT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AMO,Unknown,,,No valid network found
AMP,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ANIME,Unknown,,,No valid network found
ANKR,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
APE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
API3,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
APT,APT,0x649f5fd5cf7d662f298c9f297ec9b61cbe32f405517e2990f8140444c5e583b3,,Success
AQT,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AR,AR,978YdX3Cckejd7q2ssZfiFahi87uFVbwFD4tD7yodjE,,Success
ARB,Unknown,,,No valid network found
ARDR,ARDR,ARDOR-9QTH-2LQR-XXUT-EG2RC,1008712663,Success
ARK,ARK,ALowigLJkh4YYkVvqxJhgesfapqZ2EGaFE,,Success
ARKM,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ARPA,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ASTER,Unknown,,,No valid network found
ASTR,ASTR,WfdennnqeVDotMz5kQSQyt8E5nvAn9CfuENsFqMJTDNYV8r,,Success
ATH,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
ATOM,ATOM,cosmos1erzjr93gcqgvcs7azqaglrjqy5ntzn3da5p340,1008712663,Success
AUCTION,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AUDIO,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AVAIL,AVAIL,5EtZcQHX3ZPbVnFJ4PemaQFrd6X5KH36XSBx9x8bkzwBDqfq,,Success
AVAX,AVAX,0xf826838a58343c518456fb85c177b8b731715497,,Success
AVL,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AVNT,Unknown,,,No valid network found
AWE,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AXS,ETH,0x4832315bf491e4ef3637988f2a3d8951c8231800,,Success
AZIT,Unknown,,,No valid network found
B3,Unknown,,,No valid network found
